city,number
万州区,13
长寿区,5
忠县,5
大渡口区,4
渝北区,4
开州区,4
云阳县,4
九龙坡区,3
永川区,3
奉节县,3
巫山县,3
巫溪县,3
两江新区,3
石柱县,3
江北区,2
垫江县,2
合川区,2
璧山区,2
铜梁区,1
大足区,1
涪陵区,1
秀山县,1
梁平区,1
城口县,1
丰都县,1
