保山
楚雄彝族自治州
大理白族自治州
德宏傣族景颇族自治州
迪庆藏族自治州
红河哈尼族彝族自治州
昆明
丽江
临沧
怒江傈僳族自治州
普洱
曲靖
思茅
文山壮族苗族自治州
西双版纳傣族自治州
玉溪
昭通
